Sno_of_polling_station,KUMAR NAVNEET HIMANSHU,Nilam Devi,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Ajit kumar,Arvind Kumar Sharma,KRISHNA MURARI KUMAR,PANCHANAND SINGH,RAUSHAN KUMAR,VIKASH KUMAR ARYA,SANJAY KESARI,SANTOSH KUMAR,SURYODAY PASWAN,SONELAL KORA,AMARJIT PATEL,UCHIT KUMAR,DINA SAW,PRANAY KUMAR,MAHESH RAM,DR.RAJESH KUMAR RATNAKAR,Total of Valid Votes,No. of rejected votes,NOTA,Total,No.of tendered votes,Margin
268,7,261,294,10,13,10,4,4,5,22,4,6,10,12,14,13,5,15,20,729,0,3,732,0,33
269,0,65,502,5,5,2,4,1,1,2,1,2,3,5,3,2,18,9,19,649,0,14,663,0,437
270,3,116,404,20,11,6,1,3,3,7,1,4,13,14,4,13,4,5,8,640,0,17,657,0,288
271,18,62,502,14,10,6,2,1,4,5,0,3,4,9,0,3,4,0,1,648,0,4,652,0,440
272,4,22,597,13,6,16,2,4,7,14,10,14,12,32,8,17,7,2,13,800,0,6,806,0,575
273,2,12,374,3,12,0,0,2,0,7,2,0,5,21,3,11,3,2,12,471,0,6,477,0,362
274,1,107,297,5,6,2,1,2,0,9,7,2,4,21,11,9,8,12,26,530,0,18,548,0,190
275,4,187,160,24,5,0,1,3,2,1,6,4,6,11,10,12,2,4,2,444,0,2,446,0,-27
276,12,348,315,14,17,7,6,7,4,10,10,6,13,21,13,49,5,6,5,868,0,27,895,0,-33
277,2,324,96,10,3,3,4,2,3,5,0,4,11,6,22,18,0,0,0,513,0,0,513,0,-228
278,1,133,313,0,1,0,0,1,0,1,1,2,1,3,6,2,0,1,5,471,0,0,471,0,180
279,6,369,215,3,10,5,5,0,0,10,4,12,8,10,30,28,13,7,6,741,0,18,759,0,-154
280,10,191,267,6,12,3,4,2,2,9,3,5,7,7,5,8,6,7,6,560,0,12,572,0,76
281,3,203,346,7,3,1,1,0,0,4,2,1,1,3,2,5,0,3,4,589,0,1,590,0,143
282,8,185,371,8,10,5,9,0,1,9,5,3,3,22,8,14,0,0,2,663,0,16,679,0,186
283,12,181,131,1,4,2,2,0,1,2,0,1,1,8,4,10,6,8,6,380,0,10,390,0,-50
284,5,115,173,0,7,3,3,0,0,4,5,4,3,19,4,6,2,2,2,357,0,3,360,0,58
285,5,239,339,5,5,2,1,2,0,0,0,1,2,1,2,3,1,0,0,608,0,2,610,0,100
286,5,181,298,4,7,1,0,0,0,7,2,3,0,22,3,7,2,2,1,545,0,3,548,0,117
287,47,148,273,7,4,4,2,1,5,4,2,0,2,9,4,13,3,1,2,531,0,7,538,0,125
288,8,142,223,2,4,1,2,0,1,1,0,1,8,2,2,6,0,1,4,408,0,3,411,0,81
289,1,168,221,6,5,1,3,1,0,1,1,1,0,2,4,7,2,1,1,426,0,1,427,0,53
290,2,121,290,2,3,1,0,1,0,1,0,1,1,5,1,6,0,1,1,437,0,1,438,0,169
291,4,268,444,3,4,2,1,1,3,3,5,1,3,5,4,6,2,1,2,762,0,5,767,0,176
292,4,252,311,2,2,2,1,2,2,5,2,1,3,8,9,10,3,4,3,626,0,6,632,0,59
293,4,248,360,3,5,1,0,3,2,5,3,3,2,9,5,10,4,3,3,673,0,0,673,0,112
294,3,44,241,1,2,1,9,1,4,0,2,1,1,5,4,3,0,2,6,330,0,1,331,0,197
295,7,142,487,14,13,3,2,5,3,7,2,2,6,15,9,14,3,2,12,748,0,7,755,0,345
296,10,391,155,4,3,1,2,0,3,2,0,4,1,10,6,7,2,0,3,604,0,2,606,0,-236
297,0,120,293,4,1,0,0,0,1,3,0,1,0,9,4,3,0,1,2,442,0,1,443,0,173
298,4,122,386,3,5,4,0,0,2,5,1,3,2,9,2,8,4,7,8,575,0,18,593,0,264
299,12,254,198,4,2,5,6,2,4,9,2,8,3,28,11,29,5,14,6,602,0,9,611,0,-56
300,5,188,107,1,2,1,3,1,0,2,2,3,2,12,6,5,0,3,1,344,0,3,347,0,-81
301,2,356,85,1,2,1,0,1,2,0,0,0,2,4,12,8,1,2,0,479,0,4,483,0,-271
302,3,257,140,2,0,2,0,0,3,2,0,1,3,4,5,4,1,2,3,432,0,5,437,0,-117
303,3,315,239,2,4,3,1,1,0,4,2,0,1,5,2,7,4,4,4,601,0,9,610,0,-76
304,1,68,354,4,6,1,0,1,1,1,2,1,1,1,0,0,4,2,9,457,0,6,463,0,286
305,0,78,359,5,4,2,0,2,3,0,1,1,0,2,1,3,2,1,3,467,0,0,467,0,281
306,2,153,273,10,8,2,1,1,1,2,1,3,3,6,7,7,1,11,12,504,0,3,507,0,120
307,5,306,197,3,2,3,3,0,0,3,0,1,1,0,8,7,1,6,9,555,0,2,557,0,-109
308,5,74,606,11,3,1,1,2,1,2,2,2,5,8,3,7,0,2,24,759,0,6,765,0,532
309,1,147,217,0,2,2,2,6,0,4,8,5,3,15,12,28,14,6,7,479,0,24,503,0,70
310,5,141,262,5,8,0,6,1,7,10,1,0,8,9,7,34,5,8,9,526,0,5,531,0,121
311,5,217,188,4,6,4,1,1,2,8,3,4,4,7,9,12,3,1,1,480,0,2,482,0,-29
312,4,277,130,5,6,2,2,2,1,2,1,5,0,3,7,4,4,0,1,456,0,8,464,0,-147
313,24,266,226,1,5,1,1,1,6,6,1,3,4,7,10,9,3,6,4,584,0,8,592,0,-40
314,1,112,358,3,9,3,1,4,2,6,2,3,5,12,8,12,1,0,5,547,0,2,549,0,246
315,0,84,291,7,5,0,0,0,0,1,0,0,2,4,1,3,0,2,4,404,0,2,406,0,207
316,10,210,247,10,17,6,3,7,3,14,6,5,17,14,13,24,10,2,11,629,0,11,640,0,37
317,5,85,525,5,13,2,5,2,2,5,5,5,3,13,5,8,4,4,13,709,0,6,715,0,440
318,3,70,436,4,7,3,2,1,3,7,0,1,4,12,2,15,2,3,5,580,0,11,591,0,366
319,14,211,210,2,7,9,3,2,1,2,3,7,2,7,11,19,5,3,7,525,0,5,530,0,-1
320,12,41,388,14,4,4,3,1,0,3,3,5,8,18,5,22,6,2,9,548,0,10,558,0,347
321,0,144,438,5,14,6,2,2,3,18,8,5,7,14,10,21,5,7,6,715,0,10,725,0,294
322,9,168,364,3,16,6,4,3,4,10,7,4,12,15,8,24,5,1,5,668,0,8,676,0,196
323,14,107,374,5,11,3,7,4,4,11,5,7,9,4,3,21,1,3,6,599,0,4,603,0,267
324,1,112,322,3,8,5,3,2,7,3,2,6,3,2,4,9,0,2,3,497,0,4,501,0,210
325,2,95,244,4,5,3,4,1,2,5,1,3,7,12,8,17,3,0,7,423,0,8,431,0,149
326,10,397,168,5,6,1,4,4,0,0,4,6,5,6,16,22,2,8,5,669,0,8,677,0,-229
327,9,138,265,5,6,0,0,1,2,7,0,2,2,3,3,16,6,1,12,478,0,8,486,0,127
328,5,213,226,4,3,1,0,2,0,9,2,1,1,4,5,8,4,3,0,491,0,7,498,0,13
329,3,72,360,3,2,0,0,0,1,3,0,0,8,6,3,7,1,4,7,480,0,2,482,0,288
330,3,39,398,2,2,2,2,0,0,2,1,0,0,6,5,8,1,1,2,474,0,0,474,0,359
331,5,70,257,5,4,1,3,1,2,5,1,0,5,3,4,6,4,1,0,377,0,3,380,0,187
332,3,50,254,6,7,3,0,2,3,7,2,3,5,10,6,12,6,0,10,389,0,13,402,0,204
333,3,73,393,1,5,0,3,0,1,2,1,0,1,2,1,5,2,0,2,495,0,10,505,0,320
334,3,40,346,3,3,2,0,1,0,3,1,0,0,7,2,3,0,1,2,417,0,6,423,0,306
335,3,197,292,5,5,3,1,1,3,10,3,5,10,25,17,19,0,2,10,611,0,10,621,0,95
Grand Total,1457,64817,95980,1262,1395,524,450,334,530,1291,677,559,967,2376,1627,2315,682,983,1553,179779,0,1423,181202,0,31163
